supplier_id,supplier_name,region,country,feedstock_type,annual_available_t,distance_to_leuna_km,feedstock_cost_eur_t,transport_cost_eur_t,lead_time_days,reliability_pct,quality_score,contract_security_score,supply_risk_score,payment_terms_days
SUP-001,Supplier A,Saxony-Anhalt,Germany,Molasses,18000,55,82,8,2,97,94,92,15,30
SUP-002,Supplier B,Saxony,Germany,Molasses,24000,145,78,13,3,94,92,88,21,30
SUP-003,Supplier C,Thuringia,Germany,Molasses,15000,120,80,12,3,96,95,90,18,45
SUP-004,Supplier D,Brandenburg,Germany,Molasses,28000,190,74,17,4,89,89,80,32,45
SUP-005,Supplier E,Lower Saxony,Germany,Molasses,32000,230,72,20,4,91,91,84,28,60
SUP-006,Supplier F,North Rhine-Westphalia,Germany,Molasses,35000,390,70,29,5,95,93,91,23,45
SUP-007,Supplier G,Usti nad Labem,Czech Republic,Molasses,26000,175,69,18,4,90,90,82,31,30
SUP-008,Supplier H,Greater Poland,Poland,Molasses,40000,430,65,32,6,87,88,78,38,60
SUP-009,Supplier I,Saxony-Anhalt,Germany,Molasses,12000,80,86,9,2,98,96,95,12,30
SUP-010,Supplier J,Thuringia,Germany,Molasses,20000,135,79,13,3,93,92,87,22,45
