assumption,value,unit,description
starting_cash,4200000,EUR,Cash available at the start of the model
monthly_revenue,850000,EUR,Current modeled monthly revenue
monthly_revenue_growth,0.025,decimal,Base monthly revenue growth assumption
gross_margin,0.42,decimal,Base gross margin before expansion effects
monthly_payroll,620000,EUR,Modeled monthly payroll
monthly_other_opex,310000,EUR,Other recurring operating expenses
monthly_base_capex,90000,EUR,Recurring capital expenditure
expansion_capex,1200000,EUR,One-time operational expansion investment
working_capital_buffer,0.12,decimal,Working capital buffer as share of annual revenue
fundraising_transaction_cost_pct,0.03,decimal,Illustrative transaction cost as share of capital raised
minimum_cash_buffer,1500000,EUR,Management minimum cash buffer
model_horizon_months,36,months,Financial planning horizon
